110100,北京市,110000
120100,天津市,120000
130100,石家庄,130000
130200,唐山,130000
130300,秦皇岛,130000
130400,邯郸,130000
130500,邢台,130000
130600,保定,130000
130700,张家口,130000
130800,承德,130000
130900,沧州,130000
131000,廊坊,130000
131100,衡水,130000
140100,太原,140000
140200,大同,140000
140300,阳泉,140000
140400,长治,140000
140500,晋城,140000
140600,朔州,140000
140700,晋中,140000
140800,运城,140000
140900,忻州,140000
141000,临汾,140000
141100,吕梁,140000
150100,呼和浩特,150000
150200,包头,150000
150300,乌海,150000
150400,赤峰,150000
150500,通辽,150000
150600,鄂尔多斯,150000
150700,呼伦贝尔,150000
150800,巴彦淖尔,150000
150900,乌兰察布,150000
152200,兴安盟,150000
152500,锡林郭勒盟,150000
152900,阿拉善盟,150000
210100,沈阳,210000
210200,大连,210000
210300,鞍山,210000
210400,抚顺,210000
210500,本溪,210000
210600,丹东,210000
210700,锦州,210000
210800,营口,210000
210900,阜新,210000
211000,辽阳,210000
211100,盘锦,210000
211200,铁岭,210000
211300,朝阳,210000
211400,葫芦岛,210000
220100,长春,220000
220200,吉林,220000
220300,四平,220000
220400,辽源,220000
220500,通化,220000
220600,白山,220000
220700,松原,220000
220800,白城,220000
222400,延边,220000
230100,哈尔滨,230000
230200,齐齐哈尔,230000
230300,鸡西,230000
230400,鹤岗,230000
230500,双鸭山,230000
230600,大庆,230000
230700,伊春,230000
230800,佳木斯,230000
230900,七台河,230000
231000,牡丹江,230000
231100,黑河,230000
231200,绥化,230000
232700,大兴安岭,230000
310100,上海市,310000
320100,南京,320000
320200,无锡,320000
320300,徐州,320000
320400,常州,320000
320500,苏州,320000
320600,南通,320000
320700,连云港,320000
320800,淮安,320000
320900,盐城,320000
321000,扬州,320000
321100,镇江,320000
321200,泰州,320000
321300,宿迁,320000
330100,杭州,330000
330200,宁波,330000
330300,温州,330000
330400,嘉兴,330000
330500,湖州,330000
330600,绍兴,330000
330700,金华,330000
330800,衢州,330000
330900,舟山,330000
331000,台州,330000
331100,丽水,330000
340100,合肥,340000
340200,芜湖,340000
340300,蚌埠,340000
340400,淮南,340000
340500,马鞍山,340000
340600,淮北,340000
340700,铜陵,340000
340800,安庆,340000
341000,黄山,340000
341100,滁州,340000
341200,阜阳,340000
341300,宿州,340000
341400,巢湖,340000
341500,六安,340000
341600,亳州,340000
341700,池州,340000
341800,宣城,340000
350100,福州,350000
350200,厦门,350000
350300,莆田,350000
350400,三明,350000
350500,泉州,350000
350600,漳州,350000
350700,南平,350000
350800,龙岩,350000
350900,宁德,350000
360100,南昌,360000
360200,景德镇,360000
360300,萍乡,360000
360400,九江,360000
360500,新余,360000
360600,鹰潭,360000
360700,赣州,360000
360800,吉安,360000
360900,宜春,360000
361000,抚州,360000
361100,上饶,360000
370100,济南,370000
370200,青岛,370000
370300,淄博,370000
370400,枣庄,370000
370500,东营,370000
370600,烟台,370000
370700,潍坊,370000
370800,济宁,370000
370900,泰安,370000
371000,威海,370000
371100,日照,370000
371200,莱芜,370000
371300,临沂,370000
371400,德州,370000
371500,聊城,370000
371600,滨州,370000
371700,菏泽,370000
410100,郑州,410000
410200,开封,410000
410300,洛阳,410000
410400,平顶山,410000
410500,安阳,410000
410600,鹤壁,410000
410700,新乡,410000
410800,焦作,410000
410881,济源,410000
410900,濮阳,410000
411000,许昌,410000
411100,漯河,410000
411200,三门峡,410000
411300,南阳,410000
411400,商丘,410000
411500,信阳,410000
411600,周口,410000
411700,驻马店,410000
420100,武汉,420000
420200,黄石,420000
420300,十堰,420000
420500,宜昌,420000
420600,襄樊,420000
420700,鄂州,420000
420800,荆门,420000
420900,孝感,420000
421000,荆州,420000
421100,黄冈,420000
421200,咸宁,420000
421300,随州,420000
422800,恩施,420000
429004,仙桃,420000
429005,潜江,420000
429006,天门,420000
429021,神农架林区,420000
430100,长沙,430000
430200,株洲,430000
430300,湘潭,430000
430400,衡阳,430000
430500,邵阳,430000
430600,岳阳,430000
430700,常德,430000
430800,张家界,430000
430900,益阳,430000
431000,郴州,430000
431100,永州,430000
431200,怀化,430000
431300,娄底,430000
433100,湘西,430000
440100,广州,440000
440200,韶关,440000
440300,深圳,440000
440400,珠海,440000
440500,汕头,440000
440600,佛山,440000
440700,江门,440000
440800,湛江,440000
440900,茂名,440000
441200,肇庆,440000
441300,惠州,440000
441400,梅州,440000
441500,汕尾,440000
441600,河源,440000
441700,阳江,440000
441800,清远,440000
441900,东莞,440000
442000,中山,440000
445100,潮州,440000
445200,揭阳,440000
445300,云浮,440000
450100,南宁,450000
450200,柳州,450000
